zpid,llm_condition,llm_tier,llm_has_view,llm_has_ocean_view,llm_has_bay_view,llm_has_city_view,llm_has_golf_view,llm_floor_level,llm_is_penthouse,llm_is_corner,llm_has_concierge,llm_has_elevator,llm_has_boat_dock,llm_has_guest_house,llm_amenities_count,llm_is_fixer,llm_distress_count,llm_renovation_age,llm_ok
1014279,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1014808,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1009225,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1014158,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1004102,4,1,1,1,0,0,0,,0,0,0,1,0,0,2,0,0,,1
1004070,4,2,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,,1
1004220,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1009655,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1002983,4,2,1,1,0,0,0,,0,0,1,1,1,1,6,0,0,,1
1001348,4,2,1,1,1,0,0,,0,0,0,1,0,1,5,0,0,,1
1002802,4,2,1,1,0,0,0,2.0,0,0,0,1,0,0,2,0,0,,1
1014703,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1003884,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1006274,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1014150,4,2,1,0,1,0,0,43.0,0,0,1,1,0,0,3,0,0,,1
1001945,4,2,1,1,0,0,0,,0,0,0,1,0,0,2,0,0,,1
1010924,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1015174,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1000396,4,2,1,1,1,0,0,,1,1,1,1,1,1,6,0,0,,1
1003019,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1013090,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1004010,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1016515,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1011082,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1016202,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1004596,4,2,1,1,1,1,0,1.0,0,0,0,0,0,0,0,0,0,,1
1004843,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1003145,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1016002,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1017149,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1014809,4,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1010534,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1009411,4,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,1,,1
1005586,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1000213,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1014621,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1013758,4,0,1,0,0,0,1,,0,0,0,1,0,0,2,0,0,,1
1013630,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1007189,4,1,1,0,0,0,1,,0,0,1,1,1,1,6,0,0,,1
1007241,4,1,1,1,0,0,0,10.0,0,0,0,0,0,0,4,0,0,,1
1016706,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1015753,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1007230,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1014174,4,0,1,0,1,0,0,12.0,0,0,0,0,0,0,0,0,0,,1
1012498,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1008126,4,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,1,,1
1007807,0,1,1,0,1,0,0,,0,0,1,1,1,1,6,0,0,,1
1002407,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1013002,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1016866,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1015051,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1009116,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1012134,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1010528,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1017357,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1016521,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1010298,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1004712,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1008587,4,1,1,1,0,0,0,10.0,0,0,1,1,0,0,3,0,0,,1
1015523,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1004063,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1002562,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1015767,4,2,1,1,1,0,0,,0,0,0,1,0,0,2,0,0,,1
1008314,4,1,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,,1
1006718,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1013019,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1012090,2,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,1,,1
1009600,4,2,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1014434,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1009886,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1016620,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1013515,4,2,1,1,0,0,0,7.0,0,0,0,1,0,0,4,0,0,,1
1004342,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1015681,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1001385,4,2,1,0,0,0,0,12.0,0,0,0,1,0,0,2,0,0,,1
1005203,4,1,1,0,0,0,0,2.0,0,0,0,1,0,0,2,0,0,,1
1000793,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1000555,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1008562,4,0,1,1,1,1,1,,0,0,0,0,0,0,0,1,1,,1
1009321,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1009633,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1002761,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1004905,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1011495,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1009035,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1015597,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1006200,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1009234,4,2,1,1,1,1,0,,0,0,0,1,0,1,5,0,0,,1
1001307,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1012767,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1002597,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1006043,4,2,1,1,1,0,0,,0,0,1,1,1,1,6,0,0,,1
1015566,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1001570,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1014163,4,2,1,1,0,0,0,2.0,0,0,0,0,0,0,0,0,0,,1
1015907,4,2,1,1,1,1,0,2.0,0,0,0,0,0,0,0,0,0,,1
1003395,4,1,1,0,0,0,0,,0,0,0,1,0,0,4,0,0,,1
1001473,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1007815,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1002950,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1005259,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1001735,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1005236,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1017215,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1014555,4,2,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,,1
1017172,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1011432,4,2,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,,1
1009418,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1011535,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1016808,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1005437,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1016830,4,2,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,,1
1005694,4,1,1,0,0,0,1,,0,0,0,1,0,0,2,1,1,,1
1000790,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1010884,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1005038,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1015316,4,2,1,0,0,0,0,,0,0,0,0,0,0,0,1,1,,1
1002929,4,2,1,1,0,0,0,16.0,0,0,0,1,0,0,2,0,0,,1
1008179,4,2,1,1,1,1,0,2.0,0,0,1,1,1,1,6,0,0,,1
1007653,4,2,1,0,0,0,0,,0,0,0,0,0,0,3,0,0,,1
1005542,4,2,1,0,1,0,1,,0,0,0,1,0,1,3,1,1,,1
1004840,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1006593,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1013372,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1005349,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1001289,4,2,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,,1
1009658,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1011744,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1005345,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1004474,4,2,1,0,0,0,0,,0,0,1,1,0,0,3,0,0,,1
1005391,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1008242,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1004654,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1015774,4,2,1,1,1,1,0,,0,0,1,1,1,1,5,0,0,,1
1009905,4,1,1,1,0,0,0,,0,0,1,1,0,0,3,0,0,,1
1001030,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1004976,4,2,1,0,1,0,0,10.0,0,1,0,0,0,0,0,0,0,,1
1017465,4,2,1,1,1,0,0,10.0,0,1,0,1,0,0,2,0,0,,1
1017080,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1017553,4,2,1,1,1,0,0,,0,0,1,1,1,1,6,0,0,,1
1014529,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1003025,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1009174,4,2,1,1,0,0,0,20.0,0,0,1,1,0,0,3,0,0,,1
1008125,4,0,1,0,0,0,0,,0,0,0,1,0,0,2,1,1,,1
1000892,4,2,1,0,0,0,0,,0,0,0,1,1,0,3,0,0,,1
1016921,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1014603,4,1,1,1,0,0,0,,0,0,0,0,0,0,0,1,1,,1
1011817,4,0,1,0,1,0,0,1.0,0,0,0,0,0,0,0,1,1,,1
1003364,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1009593,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1005915,4,1,1,1,0,0,0,,0,0,0,0,0,0,0,1,1,,1
1012930,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1002006,4,2,1,1,1,1,1,,0,0,1,1,1,1,6,0,0,,1
1001805,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1009914,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1017594,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1006836,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1004238,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1012198,4,2,1,0,0,0,0,,0,0,0,1,0,0,2,0,0,,1
1010411,4,1,1,0,0,0,0,1.0,0,0,0,0,0,0,0,1,1,,1
1015351,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1001979,4,2,1,1,1,0,0,1.0,0,0,1,1,1,1,5,0,0,,1
1006358,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1001880,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1009849,3,0,1,0,1,0,0,,0,0,0,0,0,0,0,1,1,,1
1012045,4,2,1,0,0,0,0,,0,0,1,1,1,1,6,0,0,,1
1011508,4,1,1,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,,1
1006843,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1002312,4,1,1,1,0,0,0,,0,0,0,0,0,0,0,1,1,,1
1006507,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1001266,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1017344,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1006046,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1000271,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1016221,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1011047,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1008416,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1003404,4,1,1,1,0,0,0,,0,0,0,1,0,0,1,0,0,,1
1000256,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1006259,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1013644,4,0,1,1,0,0,0,1.0,0,0,0,0,0,0,0,1,1,,1
1015190,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1014008,4,1,1,1,0,0,0,1728.0,0,0,0,0,0,0,0,1,1,,1
1014526,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1008798,4,1,1,0,0,0,0,,0,0,0,0,0,0,0,1,1,,1
1009015,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1007494,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1014999,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1005244,4,2,1,1,1,0,0,,0,0,1,1,1,1,6,0,0,,1
1003582,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1010388,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1013510,4,2,1,0,0,0,0,,0,0,0,1,0,0,2,0,0,,1
1002092,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1007850,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1005557,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1003940,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1015852,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1016294,4,1,1,1,1,0,0,,0,0,1,1,1,1,6,1,1,,1
1007156,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,1,,1
1014939,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1016416,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1004823,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1012390,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1002074,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1014463,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1012903,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1012428,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1005460,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1003460,4,0,1,0,0,0,0,,0,0,0,1,0,0,2,0,0,,1
1011214,4,2,1,0,0,0,0,,0,0,0,1,0,0,3,0,0,,1
1005531,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1016432,4,2,1,0,0,0,1,2.0,0,0,0,0,0,0,1,0,0,,1
1006096,4,2,1,0,0,1,0,,0,0,0,1,0,0,7,0,0,,1
1016783,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1015514,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1003475,4,0,1,0,1,0,0,,0,0,0,0,0,0,0,1,1,,1
1002634,4,2,1,0,0,1,0,10.0,0,0,0,1,0,1,3,0,0,,1
1004100,4,2,1,1,0,0,0,,0,0,1,1,1,1,6,0,0,,1
1002370,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1001684,4,2,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,,1
1001628,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,,1
1000305,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1002360,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1007991,4,2,1,0,1,0,1,,0,0,0,1,0,0,2,0,0,,1
1010315,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1008719,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1000823,4,2,1,1,0,0,0,12.0,0,0,0,0,0,0,0,0,0,,1
1016469,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1012812,4,2,1,1,1,1,1,,0,0,1,1,1,1,6,0,0,,1
1015352,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1013784,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1000246,4,1,1,0,0,0,0,,0,0,1,1,0,0,3,0,0,,1
1012054,4,2,1,1,1,0,0,,0,1,0,1,1,0,3,0,0,,1
1004512,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1007311,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1006059,4,2,1,1,0,0,0,,0,0,1,1,1,1,6,0,0,,1
1006977,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1006966,4,2,1,0,0,0,0,,0,0,0,1,0,0,2,0,0,,1
1015315,4,2,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1015792,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1016669,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1017467,4,0,1,0,0,0,0,601.0,0,0,0,0,0,0,0,1,1,,1
1007987,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1016040,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1003359,4,2,1,1,1,0,0,,0,0,1,1,1,1,6,0,0,,1
1013210,4,0,1,1,1,0,0,,0,0,0,0,0,0,0,0,0,,1
1016271,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,1
1003949,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1008007,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1007779,4,2,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,,1
1010316,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1010204,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1000018,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
1006803,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0
